"FID_","STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
,"01","007","7","010077","A","Lawley Comm Center-7","Lawley Comm Center-7","00","G5240","N",138469516.000000,269655.000000,"+32.8904105","-086.9411777"
,"01","007","10.01","0100710.01","A","Six Mile Comm Center-10.01","Six Mile Comm Center-10.01","00","G5240","N",148027257.000000,2652812.000000,"+33.0727664","-086.9807486"
,"01","007","11.01","0100711.01","A","Greenpond Fire Dept-11.01","Greenpond Fire Dept-11.01","00","G5240","N",18937260.000000,87958.000000,"+33.1879560","-087.1749364"
,"01","019","0131","010190131","A","Ebenezer Methodist Church","Ebenezer Methodist Church","00","G5240","N",69872737.000000,26545320.000000,"+34.1725961","-085.5166037"
,"01","019","0181","010190181","A","McCord's Crossroad Volunteer Fire Dept./ Rock Run Church","McCord's Crossroad Volunteer Fire Dept./ Rock Run Church","00","G5240","N",91045578.000000,9357.000000,"+34.0581306","-085.4772464"
,"01","019","0171","010190171","A","Spring Creek Volunteer Fire Dept.","Spring Creek Volunteer Fire Dept.","00","G5240","N",54425944.000000,3718566.000000,"+34.1104042","-085.5314825"
,"01","019","0041","010190041","A","Unity Missionary Baptist Church","Unity Missionary Baptist Church","00","G5240","N",48308627.000000,3583605.000000,"+34.2884013","-085.6227892"
,"01","063","3-1-6","010633-1-6","P","Forkland City Hall","Forkland City Hall","00","G5240","S",181510582.000000,9600532.000000,"+32.6267826","-087.8365714"
,"01","063","5-7","010635-7","P","West Greene Fire Dept.","West Greene Fire Dept.","00","G5240","S",151496041.000000,2772235.000000,"+32.9665203","-088.1219443"
,"01","063","1-2","010631-2","P","Eatman School","Eatman School","00","G5240","S",99083567.000000,190057.000000,"+32.9536594","-087.9648924"
,"01","019","0071","010190071","A","Daniel's Chapel (Little River )","Daniel's Chapel (Little River )","00","G5240","N",26911765.000000,14949565.000000,"+34.2147544","-085.6632963"
,"01","019","0081","010190081","A","Cedar Bluff First Baptist Church","Cedar Bluff First Baptist Church","00","G5240","N",35550830.000000,17292957.000000,"+34.2282381","-085.5969114"
,"01","019","0111","010190111","A","Leesburg Volunteer Fire Dept.","Leesburg Volunteer Fire Dept.","00","G5240","N",47277898.000000,15910789.000000,"+34.1727442","-085.7779390"
,"01","019","0101","010190101","A","Sand Rock Town Hall","Sand Rock Town Hall","00","G5240","N",82764669.000000,37868.000000,"+34.2231019","-085.7862051"
,"01","019","0061","010190061","A","Tucker's Chapel VFW","Tucker's Chapel VFW","00","G5240","N",32539918.000000,0.000000,"+34.2943036","-085.7051008"
,"01","019","0121","010190121","A","Recreational Outreach Center","Recreational Outreach Center","00","G5240","N",98622590.000000,24908852.000000,"+34.1586464","-085.6575930"
